scenario_name,calculation_date,survival_horizon_days,repricing_gap_total,duration_gap,dv01_total,fx_positions,total_assets,total_liabilities,net_position
Baseline,2024-12-31,"{'RUB': 1095, 'CNY': 90, 'EUR': 1095, 'USD': 1095}",1664744145084.1462,2.868656898932088,695595258.3150313,"{'RUB': 2242739697331.299, 'CNY': 1271078317.788021, 'EUR': 10276761824.919102, 'USD': 9256026695.515745}",3384737740319.0674,1121194176149.546,2263543564169.522
IR Shock +200bp,2024-12-31,"{'RUB': 1095, 'CNY': 90, 'EUR': 1095, 'USD': 1095}",1664744145084.1462,2.868656898932088,684028888.7183788,"{'RUB': 2242739697331.299, 'CNY': 1271078317.788021, 'EUR': 10276761824.919102, 'USD': 9256026695.515745}",3384737740319.0674,1121194176149.546,2263543564169.522
Deposit Run 20%,2024-12-31,"{'RUB': 1095, 'CNY': 90, 'EUR': 1095, 'USD': 1095}",1639629572551.515,2.868656898932088,695595258.3150313,"{'RUB': 2293499122975.487, 'CNY': 1302025076.3333368, 'EUR': 10361150508.795378, 'USD': 9379338392.56205}",3384737740319.0674,1070196103365.8901,2314541636953.1772
Combined Stress,2024-12-31,"{'RUB': 1095, 'CNY': 90, 'EUR': 1095, 'USD': 1095}",1627072286285.1992,2.868656898932088,678388807.7275963,"{'RUB': 2335737495031.8115, 'CNY': 1317498455.605995, 'EUR': 10433386830.682137, 'USD': 9484395014.636608}",3384737740319.0674,1027764964986.3314,2356972775332.7363
